@relation TestSet.arff-weka.filters.unsupervised.attribute.Remove-R1

@attribute Em numeric
@attribute Ed numeric
@attribute El numeric
@attribute LEm numeric
@attribute ATm numeric
@attribute Asm numeric
@attribute ASd numeric
@attribute EDm numeric
@attribute FPm numeric
@attribute FMm numeric
@attribute FCm numeric
@attribute Tm numeric
@attribute Td numeric
@attribute PCm numeric
@attribute PCd numeric
@attribute Pm numeric
@attribute Pd numeric
@attribute Cm numeric
@attribute Cd numeric
@attribute Cl numeric
@attribute Chh numeric
@attribute KCm numeric
@attribute KCd numeric
@attribute Mm numeric
@attribute Md numeric
@attribute Hm numeric
@attribute ESm numeric
@attribute Rm numeric
@attribute Im numeric
@attribute Id numeric
@attribute Bm numeric
@attribute Bd numeric
@attribute SCm numeric
@attribute SCd numeric
@attribute Zm numeric
@attribute Zd numeric
@attribute Sm numeric
@attribute Km numeric
@attribute SEm numeric
@attribute SEd numeric
@attribute SFm numeric
@attribute Fm numeric
@attribute REm numeric
@attribute REd numeric
@attribute M1m numeric
@attribute D1m numeric
@attribute M2m numeric
@attribute D2m numeric
@attribute M3m numeric
@attribute D3m numeric
@attribute M4m numeric
@attribute D4m numeric
@attribute M5m numeric
@attribute D5m numeric
@attribute M6m numeric
@attribute D6m numeric
@attribute M7m numeric
@attribute D7m numeric
@attribute RSm numeric
@attribute RSd numeric
@attribute RRm numeric
@attribute RRd numeric
@attribute RTm numeric
@attribute RTd numeric
@attribute RGm numeric
@attribute RGd numeric
@attribute class {aggressive,happy,relaxed,sad}

@data
0.153424,0.007763,0.001984,0.589277,0.083772,1599785.446289,1750227.626101,1.559907,640,9469.201633,4.212068,107.609099,20.642601,0.336014,0.101669,252.548492,215.2734,0,0.199822,0.293811,-24335618953.669036,0.614956,0.137703,-0.052417,0.096354,0.254365,0.855904,442.254274,?,?,0.912391,0.071742,1607.040044,990.697988,668.210439,621.262379,1.015073,58689165180.464368,0.653147,0.068451,62.040218,0.056866,0.733165,0.376619,3.829052,-0.000154,0.148468,-0.000248,1.120603,-0.000469,0.051869,-0.000278,0.346386,0.000076,0.044109,-0.000349,0.136432,-0.000625,91.710471,71.175362,87.740298,89.057288,91.461215,92.719488,100.3746,95.217425,relaxed
0.18682,0.006276,0.002729,0.534492,0.066871,2982944.165009,2849360.215591,2.522403,649,10205.334511,4.630515,104.321828,9.670446,0.601606,0.082317,600.219409,455.336596,0,0.289564,0.232603,-29644981142.189004,0.488529,0.116342,-0.009812,0.146594,0.311521,0.869691,1441.616254,?,?,0.89467,0.046696,2157.960703,545.144132,724.142502,318.394458,0.864118,103807009103.119232,0.740356,0.040919,95.909535,0.065393,0.52845,0.270915,2.933046,-0.001396,0.304824,0.000061,0.055303,0.000198,0.226049,-0.000076,0.321679,0.000368,0.279747,-0.000072,0.241996,-0.000274,90.505545,64.222839,115.661353,73.950513,105.660864,89.521651,108.803863,90.889773,relaxed
0.157302,0.005469,0.001712,0.454249,0.068291,1457467.931449,1375444.177567,1.766667,530,6174.724641,4.848026,114.3334,34.599226,0.298824,0.102602,354.420062,281.516405,0,0.173245,0.235251,-22089271338.337836,0.577343,0.145049,0.004061,0.112591,0.328563,0.84999,666.280971,?,?,?,?,?,?,588.91015,372.932069,0.619974,114091038330.132032,0.670269,0.075723,78.092309,0.044694,0.698558,0.346994,3.520764,-0.000267,-0.245159,0.000887,0.802933,-0.000445,0.158133,0.000612,0.081029,0.000901,-0.034799,0.001002,-0.090802,0.000117,107.074895,60.08175,85.168671,55.286681,117.374399,83.088544,127.862217,79.723188,relaxed
0.171838,0.00778,0.003354,0.526968,0.065235,3139380.793316,3024194.276276,2.323266,454,8300.680234,4.570345,134.743533,21.078695,0.356086,0.221167,237.93156,243.461474,0,0.219423,0.193148,-27554855526.95634,0.489521,0.147175,-0.020639,0.086667,0.395931,0.857152,443.915286,?,?,0.949536,0.041333,1795.184915,1090.566005,555.335543,677.138305,1.225606,49157298591.354696,0.657926,0.080569,76.549355,0.093002,0.869173,0.397393,3.154349,-0.000643,0.096366,0.000502,0.755567,-0.000889,0.298659,0.00004,0.335585,0.000434,0.256818,0.000108,0.224886,0.000302,114.947371,64.073939,81.197111,46.188001,126.761249,74.619606,124.574585,70.816331,relaxed
0.180504,0.00827,0.003724,0.566418,0.0644,3761567.470822,4502948.418433,2.264402,595,10696.598562,4.809734,?,?,0.5781,0.04626,402.80328,282.217889,0,0.41028,0.272677,-28455620370.981056,0.531032,0.160315,0.038933,0.122102,0.438577,0.898954,737.774873,?,?,?,?,?,?,1281.9867,929.896113,0.769885,84427361029.39136,0.760708,0.074751,119.524082,0.032664,0.581766,0.36421,2.147462,-0.000082,0.8149,0.000496,0.436219,-0.001257,0.175593,-0.000807,-0.105085,0.000181,0.112045,-0.000117,0.111891,0.00044,74.032069,37.830403,49.773505,30.274551,69.205734,36.909962,88.057947,41.600408,relaxed
0.232511,0.010787,0.003738,0.549687,0.075603,4616293.061927,4152876.472402,2.077748,464,5307.843497,4.548492,110.039832,34.109723,0.360284,0.131004,429.545358,391.423993,0,0.286435,0.210733,-30632153628.01182,0.528148,0.144019,-0.024687,0.110408,0.39548,0.897537,1412.706726,?,?,0.841439,0.124556,2314.529264,1403.544056,953.570234,1070.307763,0.942232,124789817230.695152,0.727847,0.083185,127.354167,0.101589,0.476589,0.235643,3.169778,0.001947,-0.126529,-0.000405,0.234482,-0.000615,0.46369,-0.000972,0.164405,0.000652,-0.059378,-0.000078,-0.001645,0.000021,96.243446,57.681116,56.20155,38.19838,89.96033,62.771795,97.355578,57.671538,sad
0.109058,0.009522,0.001756,0.584076,0.13,1008651.586878,1156541.73385,0.854993,666,4285.903472,4.374636,99.443193,30.02267,0.186174,0.073912,359.944994,110.8688,0,0.214216,0.245218,-28948616625.345808,0.497715,0.117944,-0.067766,0.111847,0.319099,0.870727,147.017984,?,?,0.963979,0.034553,1991.705616,860.369332,823.054608,587.561698,1.146345,32797124122.971724,0.687099,0.066765,47.80929,0.067498,0.831653,0.446767,2.755447,0.001399,0.561868,-0.000018,0.92357,-0.000204,-0.124676,-0.000062,0.236536,-0.00113,-0.237963,0.000492,0.252766,0.000118,118.291798,53.832715,77.298598,43.144042,127.626592,79.126779,140.140016,66.887442,sad
0.244991,0.005033,0.003153,0.529048,0.064487,2776142.055195,2763579.720942,3.442513,507,3720.274169,4.987337,142.865469,30.577661,0.382116,0.105902,349.475738,364.312462,0,0.388944,0.222384,-34833706486.27272,0.540509,0.148419,-0.021616,0.138912,0.331622,0.914253,2206.933131,?,?,0.899854,0.041722,3233.84392,1039.970923,1337.35613,724.825187,0.877863,127188021375.6964,0.798275,0.054526,139.963714,0.108231,0.595022,0.32983,2.143606,-0.000629,0.043559,0.000455,0.670567,0.00021,0.33482,0.000212,0.255674,-0.000135,0.185024,0.000197,0.081797,0.000352,93.662759,59.94255,109.515014,72.221273,93.687512,71.95533,99.329212,64.620321,sad
0.168336,0.008551,0.002612,0.546147,0.091228,2430885.854852,2350107.411674,1.825423,592,5206.996373,4.28358,130.145732,38.127253,0.171452,0.043113,389.708213,114.62191,0,0.235943,0.273384,-29099776921.593444,0.579722,0.125153,-0.046144,0.126429,0.438513,0.896651,530.518852,?,?,0.978979,0.020784,2073.30966,1283.410617,990.62966,988.329126,0.921247,103696173732.597088,0.681001,0.069342,72.791738,0.071909,0.848271,0.425014,3.396312,0.000909,-0.076915,-0.001101,1.089857,0.000071,-0.068119,-0.000576,0.629826,0.001094,-0.182566,-0.000002,0.165186,0.000944,125.296034,70.182407,79.209975,45.198145,142.981798,91.196718,150.919311,81.091319,sad
0.196414,0.005838,0.002209,0.464401,0.07034,2140644.384073,1822461.69076,3.08064,606,9146.911457,4.868272,163.759976,38.648964,0.464629,0.093577,334.220237,219.307733,0,0.270018,0.249099,-31875287653.094756,0.455837,0.125628,-0.000392,0.126055,?,0.862395,1225.177474,?,?,0.850513,0.061056,1957.594205,906.966988,757.505652,620.843733,0.88561,85779627829.310368,0.691403,0.061341,93.254846,0.033582,0.697869,0.341261,3.177171,-0.000065,0.575164,0.000471,0.628538,0.000376,0.28495,0.000047,0.22617,0.000826,0.204587,0.000379,0.221923,0.000309,104.226633,52.169274,88.122954,47.464895,100.640291,62.105463,119.460705,62.688388,sad
