File_Name,Em,Ed,El,LEm,ATm,Asm,ASd,EDm,FPm,FMm,FCm,Tm,Td,PCm,PCd,Pm,Pd,Cm,Cd,Cl,Chh,KCm,KCd,Mm,Md,Hm,ESm,Rm,Im,Id,Bm,Bd,SCm,SCd,Zm,Zd,Sm,Km,SEm,SEd,SFm,Fm,REm,REd,M1m,D1m,M2m,D2m,M3m,D3m,M4m,D4m,M5m,D5m,M6m,D6m,M7m,D7m,RSm,RSd,RRm,RRd,RTm,RTd,RGm,RGd,class

01-the_seven_tongues_of_god.mp3       ,0.188888,0.004636,0.002474,0.520330 ,0.053244 ,2403818.235389 ,1515214.209447 ,4.859249 ,957.000000 ,3235.291032 ,4.853798 ,145.024937,9.016834,0.502613 ,0.172841 ,235.185311,363.885422,-0.000000,0.347289,0.108034,-37018664599.492126,0.486445 ,0.152780 ,-0.041611,0.120702,0.362802,0.931115 ,2275.500409,NaN,NaN,0.908558,0.038781,4033.509716 ,753.466193 ,2213.528428,734.040295,0.797565,118998490092.944670,0.852244 ,0.031054 ,146.582449 ,0.107704,0.477459 ,0.285644 ,0.073947 ,-0.000725 ,0.017771 ,-0.000110 ,0.939276 ,-0.000024 ,0.262123 ,-0.000190 ,0.444948 ,0.000132 ,0.177746 ,0.000646 ,0.315098 ,0.000303 ,34.678060 ,17.408599 ,34.872968 ,30.686901 ,49.980679 ,34.498226 ,49.077618 ,30.439781 ,aggressive
01-true_nature.mp3       ,0.297891,0.007218,0.004211,0.570255 ,0.055843 ,5557085.445951 ,4749972.762612 ,4.779290 ,1159.000000 ,3427.846725 ,4.629844 ,141.260651,36.817298,0.305244 ,0.076263 ,594.656724,337.819555,-0.000000,0.323362,0.246005,-20485165581.881512,0.509972 ,0.156641 ,-0.013537,0.111696,0.331197,0.918452 ,4882.256155,NaN,NaN,0.924720,0.039154,3459.970014 ,500.922555 ,1880.505385,533.604558,0.597967,345198366556.124330,0.844144 ,0.022435 ,233.616393 ,0.123559,0.508863 ,0.283608 ,1.515313 ,0.000407 ,-0.394309 ,0.000009 ,0.629927 ,0.000007 ,0.112376 ,-0.000188 ,-0.094595 ,-0.000280 ,0.047306 ,0.000415 ,0.080379 ,0.000061 ,49.120424 ,19.255390 ,31.582841 ,17.625365 ,50.468005 ,23.684833 ,57.876921 ,22.241768 ,aggressive
01-what_tomorrow_knows.mp3       ,0.207584,0.006868,0.004000,0.535418 ,0.056884 ,4762313.429436 ,3838595.200687 ,4.054960 ,643.000000 ,3775.964376 ,4.593088 ,108.020386,22.925421,0.305337 ,0.088372 ,497.036831,387.214611,-0.000000,0.243474,0.139681,-29917341675.816460,0.446438 ,0.139946 ,-0.025180,0.112137,0.401613,0.942782 ,3516.738853,NaN,NaN,0.935359,0.045864,4626.225983 ,1118.666871 ,3058.704013,1488.267278,0.703910,121243117120.422410,0.865058 ,0.031783 ,167.566765 ,0.139721,0.615880 ,0.351110 ,0.102128 ,0.001487 ,0.428581 ,-0.001203 ,0.918618 ,0.000214 ,0.091708 ,-0.000538 ,0.149904 ,-0.000231 ,0.031765 ,0.000429 ,0.141358 ,0.000995 ,70.453729 ,37.668519 ,64.516150 ,47.327566 ,86.844234 ,66.782594 ,94.858258 ,57.685038 ,aggressive
02-beyond_within.mp3       ,0.264289,0.008045,0.003943,0.517005 ,0.064348 ,3985089.098523 ,2623738.733684 ,3.987936 ,956.000000 ,8149.553862 ,4.637036 ,135.725966,26.106176,0.398707 ,0.109432 ,524.241395,471.399400,-0.000000,0.292066,0.149112,-37469652058.446762,0.437214 ,0.142212 ,-0.007173,0.099660,0.352238,0.924206 ,3029.813328,NaN,NaN,0.901413,0.040020,3719.033342 ,839.324889 ,1885.610368,760.722985,0.668028,201547619817.030180,0.836440 ,0.037791 ,190.671231 ,0.151244,0.548139 ,0.293249 ,0.418063 ,-0.000709 ,-0.097144 ,0.001155 ,0.627071 ,0.000622 ,0.164690 ,0.000649 ,0.402118 ,0.000600 ,0.095393 ,0.000401 ,0.343323 ,0.000292 ,60.984727 ,34.488111 ,55.974059 ,41.630952 ,62.003779 ,34.262461 ,68.628052 ,34.262549 ,aggressive
02-bitches.mp3       ,0.201541,0.010809,0.004266,0.541480 ,0.059709 ,4712485.701624 ,5283616.873440 ,2.309538 ,1208.000000 ,18884.882052 ,5.012446 ,161.123220,39.237364,0.333147 ,0.094274 ,507.722546,397.438611,0.000000,0.464537,0.197299,-23423953423.979836,0.488340 ,0.167353 ,-0.056044,0.108410,0.285227,0.912852 ,1622.412356,0.468339,0.042082,NaN,NaN,NaN ,NaN ,1745.666168,1380.229913,0.680308,116273005911.723330,0.770843 ,0.089921 ,144.412523 ,0.072431,0.501636 ,0.350223 ,1.761761 ,-0.000509 ,-0.132304 ,0.000940 ,0.459407 ,-0.000312 ,0.195310 ,-0.001369 ,0.344355 ,0.000856 ,0.162027 ,0.000745 ,-0.054035 ,0.000047 ,69.868957 ,46.597933 ,28.144228 ,22.917250 ,62.361742 ,38.111011 ,86.672781 ,57.726123 ,aggressive




